cycle,data_mb,compute_sec,idle_sec,compute_power_w,transfer_power_w,idle_power_w,total_power_wh,energy_j
146.0,0.1,0.0200788974761962,0.0050647258758544,2.2173571910017604,0.05,0.16779267419327365,3.06265023019577e-05,0.11025540828704773
147.0,0.1,0.0201003551483154,0.0051043033599853,2.216587002361007,0.05,0.16886466533103917,3.067368600103584e-05,0.110425269603729
148.0,0.1,0.0201039314270019,0.0051038265228271,2.2163287406231396,0.05,0.1687991841412178,3.0678639809290475e-05,0.1104431033134457
149.0,0.1,0.0200641155242919,0.0050618648529052,2.216775369572312,0.05,0.1677774031420211,3.060448169708236e-05,0.11017613410949649
150.0,0.1,0.0201027393341064,0.0051002502441406,2.21697815546744,0.05,0.1687403371861879,3.0675272146860684e-05,0.11043097972869846
151.0,0.1,0.0201013088226318,0.0050632953643798,2.2181734948380907,0.05,0.16761994464497815,3.0657503339979303e-05,0.11036701202392547
152.0,0.1,0.0201032161712646,0.0050702095031738,2.2182439044923106,0.05,0.16783823885340196,3.066307306289665e-05,0.11038706302642794
153.0,0.1,0.0200972557067871,0.0050616264343261,2.218543394955153,0.05,0.1676264370236218,3.0650946829054044e-05,0.11034340858459456
154.0,0.1,0.0201051235198974,0.0051043033599853,2.2164951163353006,0.05,0.1688176169398489,3.068048424190934e-05,0.1104497432708736
155.0,0.1,0.0200819969177246,0.0050616264343261,2.2172441206046054,0.05,0.1676555598258404,3.0629644791285144e-05,0.11026672124862653
156.0,0.1,0.020104169845581,0.0050621032714843,2.2188394661502127,0.05,0.16760693836308274,3.0660880936516545e-05,0.11037917137145957
157.0,0.1,0.0200793743133544,0.0050606727600097,2.217736838778986,0.05,0.1676831195095728,3.062538305918359e-05,0.11025137901306094
158.0,0.1,0.0201003551483154,0.0051040649414062,2.216528725720114,0.05,0.16885233833566304,3.067360321680698e-05,0.11042497158050514
159.0,0.1,0.0201039314270019,0.0050854682922363,2.2172145588026435,0.05,0.16825924387203903,3.067073888248859e-05,0.11041465997695893
160.0,0.1,0.0201034545898437,0.0050780773162841,2.217850116258268,0.05,0.16806685113680345,3.066680166456424e-05,0.11040048599243125
161.0,0.1,0.0201044082641601,0.0051040649414062,2.2154845354324055,0.05,0.1687387680892863,3.0679656399620803e-05,0.11044676303863489
162.0,0.1,0.0200819969177246,0.0050907135009765,2.2156810134840126,0.05,0.16850013415615606,3.064220812585614e-05,0.1103119492530821
163.0,0.1,0.0200624465942382,0.0050611495971679,2.216754478398308,0.05,0.16776606954688944,3.060181935628241e-05,0.11016654968261666
164.0,0.1,0.020104169845581,0.0050854682922363,2.217100938658529,0.05,0.1682486261930421,3.0671109755833855e-05,0.11041599512100186
165.0,0.1,0.0201039314270019,0.0051016807556152,2.2166083962040948,0.05,0.16874950711074813,3.067766626675915e-05,0.11043959856033293
166.0,0.1,0.0201003551483154,0.0051233768463134,2.215561780921997,0.05,0.16941727416548624,3.0681924687491446e-05,0.1104549288749692
167.0,0.1,0.0200634002685546,0.0050618648529052,2.2169649772644573,0.05,0.16779773540367862,3.060341212484556e-05,0.11017228364944402
168.0,0.1,0.0200841426849365,0.005061388015747,2.2180415492772303,0.05,0.167690039232205,3.063236673672987e-05,0.11027652025222755
169.0,0.1,0.0201039314270019,0.0050632953643798,2.2189883211140975,0.05,0.16765964389660862,3.066099683443694e-05,0.110379588603973
170.0,0.1,0.0200622081756591,0.0050611495971679,2.2169967909704473,0.05,0.16778640193490035,3.060141205787645e-05,0.11016508340835521
171.0,0.1,0.0201056003570556,0.0051052570343017,2.2165593376264896,0.05,0.16885004599815825,3.0681540568669525e-05,0.11045354604721029
172.0,0.1,0.0200786590576171,0.0051038265228271,2.214869947137252,0.05,0.1689004023880269,3.064316180017245e-05,0.1103153824806208
173.0,0.1,0.0202517509460449,0.0050625801086425,2.2272507971136095,0.05,0.16703201040442786,3.0868278609381717e-05,0.11112580299377417
174.0,0.1,0.0201048851013183,0.0051038265228271,2.2163290194388043,0.05,0.16879119839358975,3.067999415927453e-05,0.1104479789733883
175.0,0.1,0.0201048851013183,0.0051047801971435,2.2163756216028636,0.05,0.1688262876247132,3.0680378278096405e-05,0.11044936180114708
176.0,0.1,0.0201046466827392,0.0051040649414062,2.216360988892564,0.05,0.1688035198940232,3.0679745806587964e-05,0.11044708490371667
177.0,0.1,0.0201036930084228,0.0051057338714599,2.215987932049447,0.05,0.16883830207719952,3.067919280793921e-05,0.11044509410858117
178.0,0.1,0.0201039314270019,0.0051040649414062,2.216200588730022,0.05,0.16879730866274031,3.067877557542579e-05,0.11044359207153286
179.0,0.1,0.0201010704040527,0.0051026344299316,2.216199733982427,0.05,0.1687739534101231,3.067411647902588e-05,0.11042681932449318
180.0,0.1,0.0201020240783691,0.0051019191741943,2.216036922559345,0.05,0.1687298933955708,3.067521916495422e-05,0.11043078899383518
181.0,0.1,0.0201246738433837,0.0051016807556152,2.217706127467716,0.05,0.16865906141129766,3.070681293805426e-05,0.11054452657699534
182.0,0.1,0.0201058387756347,0.0051050186157226,2.216282700222334,0.05,0.16881908636485324,3.068185846010832e-05,0.11045469045638995
